Year,Country,Player,Par,Major
2003,United States,Ben Curtis,283,open_champ     
2004,United States,Todd Hamilton      ,274,open_champ     
2005,United States,Tiger Woods,274,open_champ     
2006,United States,Tiger Woods,270,open_champ     
2007,Ireland,P_draig Harrington,277,open_champ     
2008,Ireland,P_draig Harrington ,283,open_champ     
2009,United States,Stewart Cink       ,278,open_champ     
2010,South Africa,Louis Oosthuizen,272,open_champ     
2011,N Ireland,Darren Clich       ,275,open_champ     
2012,South Africa,Ernie Els,273,open_champ     
2013,United States,Phil Mickelson,281,open_champ     
2014,N Ireland,Rory Mcllroy       ,271,open_champ     
2015,United States,Zach Johnson,273,open_champ     
1916,England,Jim Barnes         ,0,pga            
1919,England,Jim Barnes,0,pga            
1920,United States,Jock Hutchison,0,pga            
1921,United States,Walter Hagen,0,pga            
1922,United States,Gene Sarazen,0,pga            
1923,United States,Gene Sarazen,0,pga            
1924,United States,Walter Hagen,0,pga            
1925,United States,Walter Hagen,0,pga            
1926,United States,Walter Hagen,0,pga            
1927,United States,Walter Hagen,0,pga            
1928,United States,Leo Diegel,0,pga            
1929,United States,Leo Diegel,0,pga            
1930,United States,Tommy Armour,0,pga            
1931,United States,Tom Creavy,0,pga            
1932,United States,Olin Dutra,0,pga            
1933,United States,Gene Sarazen,0,pga            
1934,United States,Paul Runyan,0,pga            
1935,United States,Johnny Revolta,0,pga            
1936,United States,Denny Shute,0,pga            
1937,United States,Denny Shute,0,pga            
1938,United States,Paul Runyan,0,pga            
1939,United States,Henry Picard,0,pga            
1940,United States,Byron Nelson,0,pga            
1941,United States,Vic Ghezzi,0,pga            
1942,United States,Sam Snead,0,pga            
1944,United States,Bob Hamilton,0,pga            
1945,United States,Byron Nelson,0,pga            
1946,United States,Ben Hogan,0,pga            
1947,Australia,Jim Ferrier,0,pga            
1948,United States,Ben Hogan,0,pga            
1949,United States,Sam Snead,0,pga            
1950,United States,Chandler Harper,0,pga            
1951,United States,Sam Snead,0,pga            
1952,United States,Jim Turnesa,0,pga            
1953,United States,Walter Burkemo,0,pga            
1954,United States,Chick Harbert,0,pga            
1955,United States,Doug Ford,0,pga            
1956,United States,"Jack Burke, Jr.",0,pga            
1957,United States,Lionel Hebert,0,pga            
1958,United States,Dow Finsterwald,276,pga            
1959,United States,Bob Rosburg,277,pga            
1960,United States,Jay Hebert,281,pga            
1961,United States,Jerry Barber ,277,pga            
1962,South Africa,Gary Player,278,pga            
1963,United States,Jack Nicklaus,279,pga            
1964,United States,Bobby Nichols,271,pga            
1965,United States,Dave Marr,280,pga            
1966,United States,Al Geiberger,280,pga            
1967,United States,Don January ,281,pga            
1968,United States,Julius Boros,281,pga            
1969,United States,Raymond Floyd,276,pga            
1970,United States,Dave Stockton,279,pga            
1971,United States,Jack Nicklaus,281,pga            
1972,South Africa,Gary Player,281,pga            
1973,United States,Jack Nicklaus,277,pga            
1974,United States,Lee Trevino,276,pga            
1975,United States,Jack Nicklaus,276,pga            
1976,United States,Dave Stockton,281,pga            
1977,United States,Lanny Wadkins      ,282,pga            
1978,United States,John Mahaffey      ,276,pga            
1979,Australia,David Graham ,272,pga            
1980,United States,Jack Nicklaus,274,pga            
1981,United States,Larry Nelson,273,pga            
1982,United States,Raymond Floyd,272,pga            
1983,United States,Hal Sutton,274,pga            
1984,United States,Lee Trevino,273,pga            
1985,United States,Hubert Green,278,pga            
1986,United States,Bob Tway,276,pga            
1987,United States,Larry Nelson ,287,pga            
1988,United States,Jeff Sluman,272,pga            
1989,United States,Payne Stewart,276,pga            
1990,Australia,Wayne Grady,282,pga            
1991,United States,John Daly,276,pga            
1992,Zimbabwe,Nick Price,278,pga            
1993,United States,Paul Azinger       ,272,pga            
1994,Zimbabwe,Nick Price,269,pga            
1995,Australia,Steve Elkington  ,267,pga            
1996,United States,Mark Brooks ,277,pga            
1997,United States,Davis Love III,269,pga            
1998,Fiji,Vijay Singh,271,pga            
1999,United States,Tiger Woods,277,pga            
2000,United States,Tiger Woods ,270,pga            
2001,United States,David Toms,265,pga            
2002,United States,Rich Beem,278,pga            
2003,United States,Shaun Micheel,276,pga            
2004,Fiji,Vijay Singh ,280,pga            
2005,United States,Phil Mickelson,276,pga            
2006,United States,Tiger Woods,270,pga            
2007,United States,Tiger Woods,272,pga            
2008,Ireland,P_draig Harringtd,277,pga            
2009,South Korea,Yang Yong-eun,280,pga            
2010,Germany,Martin Kaymer ,277,pga            
2011,United States,Keegan Bradley ,272,pga            
2012,N Ireland,Rory Mcllroy ,275,pga            
2013,United States,Jason Dufner,270,pga            
2014,N Ireland,Rory Mcllroy,268,pga            
2015,Australia,Jason Day,268,pga
